ID,       STM.BAS,   STM.PRET, STM.SUPI,   STM.PPCP,   CLASS
BINDA,    bind.a,    band.,    bund.it,    bund.en,    4
BITA,     bit.a,     bet.,     bit.it,     bit.en,     1
BJUDA,    bjud.a,    bjöd.,    bjud.it,    bjud.en,    2
BLI,      bli.,      blev.,    bliv.it,    bliv.en,    1
BRINNA,   brinn.a,   brann.,   brunn.it,   brunn.en,   4
BRISTA,   brist.a,   brast.,   brust.it,   brust.en,   4
BRYTA,    bryt.a,    bröt.,    brut.it,    brut.en,    2
FARA,     far.a,     for.,     far.it,     far.en,     6
FÖRNIMMA, förnimm.a, förnam.,  förnumm.it, förnumm.en, 4
GIVA,     giv.a,     gav.,     giv.it,     giv.en,     5
GRIPA,    grip.a,    grep.,    grip.it,    grip.en,    1
KLIVA,    kliv.a,    klev.,    kliv.it,    ,           1
LÅTA,     låt.a,     lät.,     låt.it,     låt.en,     7
SMYGA,    smyg.a,    smög.,    smug.it,    ,           2
SKRIVA,   skriv.a,   skrev.,   skriv.it,   skriv.en,   1
STIGA,    stig.a,    steg.,    stig.it,    stig.en,    1
SVÄATA,   svält.a,   svalt.,   svult.it,   svult.en,   3
